CardName,CardType,Description
Gimmick Puppet Scissor Arms," Effect Monster  Machine  1200  600","When this card is Normal Summoned: You can send 1 ""Gimmick Puppet"" monster from your Deck to the Graveyard."
Gimmick Puppet Twilight Joker," Effect Monster  Machine  800  1600","When a ""Gimmick Puppet"" monster you control is destroyed by battle and sent to your Graveyard: You can banish that monster; Special Summon this card from your hand. You can only use the effect of ""Gimmick Puppet Twilight Joker"" once per turn."
Heraldry Record," Trap Card  Counter","When an effect of your opponent's Xyz Monster is activated by detaching its own Xyz Material(s): Negate the activation, and if you do, destroy it."
Heroic Challenger - Ambush Soldier," Effect Monster  Warrior","During your Standby Phase: You can Tribute this card; Special Summon up to 2 ""Heroic Challenger"" monsters from your hand and/or Graveyard, except ""Heroic Challenger - Ambush Soldier"". You can only use this effect of ""Heroic Challenger - Ambush Soldier"" once per turn. When you do: You can banish this card from your Graveyard; make all ""Heroic Challenger"" monsters you currently control become Level 1."
Heroic Challenger - Clasp Sword," Effect Monster  Warrior  300  100","When this card is Special Summoned by the effect of a ""Heroic Challenger"" monster: You can add 1 ""Heroic Challenger"" monster from your Deck to your hand. You can only use the effect of ""Heroic Challenger - Clasp Sword"" once per turn."
Insect Armor with Laser Cannon," Spell Card  Equip",Equip only to an Insect monster. It gains 700 ATK.
Mechquipped Angineer," XYZ Monster  Fairy  1800  1000","2 Level 3 monsters Once per turn, during either player's turn: You can detach 1 Xyz Material from this card, then target 1 face-up Attack Position monster you control; change it to face-up Defense Position, and if you do, it cannot be destroyed by battle or by card effects this turn."
Night Papilloperative," XYZ Monster  Warrior  2600  2000",3 Level 4 monsters Once per turn: You can detach 1 Xyz Material from this card; this card gains 300 ATK for each Xyz Material attached to a monster on the field.
Norito the Moral Leader," XYZ Monster  Spellcaster  2700  2000","2 Level 6 Spellcaster monsters Once per turn, when your opponent activates a Spell/Trap Card (Quick Effect): You can detach 1 material from this card; negate the activation, and if you do, destroy it."
Number 15: Gimmick Puppet Giant Grinder," XYZ Monster  Machine  1500  2500","2 Level 8 monsters Up to twice per turn, during your Main Phase 1: You can detach 1 Xyz Material from this card, then target 1 Special Summoned monster your opponent controls; destroy it, then if it was an Xyz Monster, inflict damage to your opponent equal to its original ATK."
Number 44: Sky Pegasus," XYZ Monster  Beast  1800  1600","2 Level 4 monsters Once per turn: You can detach 1 Xyz Material from this card, then target 1 face-up monster your opponent controls; destroy it, unless your opponent pays 1000 LP to negate this effect."
Number 49: Fortune Tune," XYZ Monster  Winged Beast  400  900","2 Level 3 monsters During each of your Standby Phases: Gain 500 Life Points. This card cannot be targeted by card effects. If this face-up card would be destroyed, you can detach 1 Xyz Material from this card instead. When this card is sent from the field to the Graveyard: Target 2 Level 3 monsters in your Graveyard; shuffle them both into the Deck, and if you do, return this card from your Graveyard to the Extra Deck. You can only use this effect of ""Number 49: Fortune Tune"" once per turn."
Number 54: Lion Heart," XYZ Monster  Warrior  100  100","3 Level 1 monsters This face-up Attack Position card cannot be destroyed by battle. When you take battle damage from battles involving this card: Inflict damage to your opponent equal to the amount of battle damage you took. If this card battles an opponent's monster, during damage calculation (in either player's turn): You can detach 1 Xyz Material from this card; your opponent takes any battle damage you would have taken from that battle."
Number 57: Tri-Head Dust Dragon," XYZ Monster  Dragon  100  2600","3 Level 4 monsters When this card is Special Summoned: You can target 1 monster your opponent controls; this card gains ATK equal to that monster's current ATK. If your opponent controls more cards than you do: You can detach 1 Xyz Material from this card, then choose 1 unused Main Monster Zone or Spell & Trap Zone; while this card is face-up on the field, that zone cannot be used."
Number 63: Shamoji Soldier," XYZ Monster  Fairy  2000","2 Level 1 monsters You can only use the effect of ""Number 63: Shamoji Soldier"" once per turn. You can detach 1 Xyz Material from this card, then activate 1 of these effects; ● At the start of your opponent's next Standby Phase, each player draws 1 card. ● Each player gains 1000 Life Points."
Number 74: Master of Blades," XYZ Monster  Psychic  2700  2100","2 Level 7 monsters During either player's turn, when a card or effect is activated that targets this face-up card: You can detach 1 Xyz Material from this card; negate the activation, and if you do, destroy that card, then you can destroy 1 card on the field."
Number 85: Crazy Box," XYZ Monster  Fiend  3000  300",2 Level 4 monsters This card cannot attack. Once per turn: You can detach 1 Xyz Material from this card; roll a six-sided die and apply the result. 1: Halve your Life Points. 2: Draw 1 card. 3: Your opponent discards 1 card. 4: Negate the effects of 1 face-up card on the field until the end of this turn. 5: Destroy 1 card on the field. 6: Destroy this card.
Number 87: Queen of the Night," XYZ Monster  Plant  3200  2800","3 Level 8 monsters Once per turn, during either player's turn: You can detach 1 Xyz Material from this card, then activate 1 of these effects. ● Target 1 Set Spell/Trap Card your opponent controls; while this card is face-up on the field, that Set card cannot be activated. ● Target 1 Plant-Type monster on the field; change that target to face-down Defense Position. ● Target 1 face-up monster on the field; that target gains 300 ATK."
Number Wall," Trap Card  Continuous","Activate only if you control a ""Number"" monster. ""Number"" monsters on the field cannot be destroyed by card effects, and cannot be destroyed by battle except with another ""Number"" monster. When a ""Number"" monster you control is destroyed, destroy this card."
Overlay Capture," Spell Card  Normal","Target 1 face-up Xyz Monster your opponent controls that has Xyz Material and 1 face-up Xyz Monster you control; detach all Xyz Materials from the opponent's monster, and if you do, attach this card to your monster as an Xyz Material."
Photon Alexandra Queen," XYZ Monster  Warrior  2400  1200","2 Level 4 ""Butterspy"" monsters You can detach 1 Xyz Material from this card; return all monsters on the field to the hand, then inflict 300 damage to each player for each card returned to their hand."
Princess Cologne," XYZ Monster  Fairy  500  2200","2 Level 4 monsters When this card is Xyz Summoned: You can target 1 ""Box of Friends"" in your Graveyard; Special Summon that target. If you control another monster, your opponent cannot target this card with cards, effects, or for attacks. If a face-up Normal Monster(s) you control is destroyed by battle or by card effect and sent to the Graveyard: You can detach 1 Xyz Material from this card; Special Summon 1 Normal Monster from your Deck or Graveyard in face-up Defense Position."
Puppet Ritual," Spell Card  Normal","If your opponent's Life Points are at least 2000 higher than yours: You can target 2 Level 8 ""Gimmick Puppet"" monsters in your Graveyard; Special Summon those targets. You can only activate 1 ""Puppet Ritual"" per turn. You cannot conduct your Battle Phase the turn you activate this card."
Resurrection of Chakra," Spell Card  Ritual","This card is used to Ritual Summon ""Chakra"". You must also Tribute monsters from your hand or field whose total Levels equal 7 or more."
Skypalace Gangaridai," XYZ Monster  Machine  3400  3000","2 Level 10 monsters You can detach 1 Xyz Material from this card, then target 1 card your opponent controls; destroy that target, and if you do, inflict 1000 damage to your opponent. You can only use the effect of ""Skypalace Gangaridai"" once per turn. This card cannot attack the turn you activate this effect."
Stoic Challenge," Spell Card  Equip","You can only control 1 ""Stoic Challenge"". Equip only to a face-up Xyz Monster that has Xyz Material. It gains 600 ATK for each Xyz Material attached to a monster you control, and any battle damage your opponent takes from battles involving it and their monster is doubled, but its effects cannot be activated. During your opponent's End Phase: Send this card to the Graveyard. When this card leaves the field, destroy the equipped monster."
Unformed Void," XYZ Monster  Aqua","3 Level 4 monsters Once per turn, during your opponent's Main Phase: You can detach 1 Xyz Material from this card; this card gains ATK and DEF equal to the total ATK of all face-up Xyz Monsters your opponent currently controls (this is a Quick Effect)."
Zombowwow," Effect Monster  Zombie  1000  1000","When this card declares an attack, it gains 500 ATK. If this card on the field is destroyed and sent to the Graveyard: You can Special Summon 1 Level 1 monster with 0 ATK and DEF from your Deck. Its effects are negated, also it is destroyed during your next End Phase."
Galaxy Serpent," Normal Tuner Monster  Dragon  1000","Your hopes and dreams will be refreshed if you catch a glimpse of this rare creature in the evening twilight, soaring in the Sea of Stars."
Angel of Zera," Synchro Monster  Fairy  2800  2300","1 Tuner + 1 or more non-Tuner monsters This card gains 100 ATK for each of your opponent's banished cards. During the Standby Phase of the next turn after this card was banished: Special Summon this banished card. You can only use the effect of ""Angel of Zera"" once per turn."
Archfiend Cavalry," Effect Monster  Fiend  1900","If this card on the field is destroyed by card effect and sent to the GY: You can target 1 ""Archfiend"" monster in your GY, except ""Archfiend Cavalry""; Special Summon it, but it cannot attack this turn."
"Archfiend Emperor, the First Lord of Horror"," Effect Monster  Fiend  3000  2000","You can Normal Summon this card without Tributing, but its original ATK/DEF become halved. If Summoned this way, this card is destroyed during the End Phase. You cannot Special Summon any monsters, except Fiend monsters. Once per turn: You can banish 1 ""Archfiend"" card from your hand or GY, then target 1 card on the field; destroy it."
Archfiend Heiress," Effect Monster  Fiend  1000","If this card is sent to the Graveyard because of a card effect or being destroyed by battle: You can add 1 ""Archfiend"" card from your Deck to your hand, except ""Archfiend Heiress"". You can only use the effect of ""Archfiend Heiress"" once per turn."
Archfiend Palabyrinth," Spell Card  Field","All Fiend-Type monsters you control gain 500 ATK. You can target 1 ""Archfiend"" monster you control; banish 1 other Fiend-Type monster you control, and if you do, Special Summon from your hand, Deck, or Graveyard, 1 ""Archfiend"" monster with same Level as the targeted monster. You can only use this effect of ""Archfiend Palabyrinth"" once per turn."
"Armades, Keeper of Boundaries"," Synchro Monster  Fiend  2300  1500","1 Tuner + 1 or more non-Tuner monsters If this card attacks or is attacked, your opponent cannot activate cards or effects until the end of the Damage Step."
Armageddon Designator," Trap Card  Normal","Banish 1 card from your hand; neither player can activate cards, or the effects of cards, with that name for the rest of this Duel."
Black and White Wave," Spell Card  Quick-Play","If there is a face-up Xyz Monster on the field with a Synchro Monster as Xyz Material: Target 1 card on the field; banish that target, and if you do, draw 1 card."
Brotherhood of the Fire Fist - Boar," Tuner Monster  Beast-Warrior  1100  1400","Cannot be used as a Synchro Material Monster, except for the Synchro Summon of a FIRE monster. When this card is destroyed by battle and sent to the Graveyard: You can Special Summon 1 Level 4 ""Fire Fist"" monster from your Deck, except ""Brotherhood of the Fire Fist - Boar"". Once per turn, when a ""Fire Fist"" monster is Special Summoned from your Extra Deck: You can Set 1 ""Fire Formation"" Spell Card directly from your Deck."
Brotherhood of the Fire Fist - Caribou," Effect Monster  Beast-Warrior  1100  2000","During the End Phase, if this card is in the Graveyard because it was destroyed by a card effect and sent there this turn: You can Special Summon 1 Level 4 ""Fire Fist"" monster from your Deck, except ""Brotherhood of the Fire Fist - Caribou"". If this card is sent to the Graveyard for the Synchro Summon of a ""Fire Fist"" monster: You can Set 1 ""Fire Formation"" Spell Card directly from your Deck."
Brotherhood of the Fire Fist - Kirin," Synchro Monster  Beast-Warrior  2000  2800","1 FIRE Tuner + 1 or more non-Tuner ""Fire Fist"" monsters When this card is Synchro Summoned: You can Set 1 ""Fire Formation"" Spell/Trap Card directly from your Deck. All monsters your opponent controls lose 100 ATK for each face-up Spell/Trap Card you control."
Brotherhood of the Fire Fist - Rooster," Effect Monster  Beast-Warrior  1500  100","When this card is Special Summoned by the effect of a ""Fire Fist"" monster: You can add 1 ""Fire Fist"" monster from your Deck to your hand. You can only use this effect of ""Brotherhood of the Fire Fist - Rooster"" once per turn. Once per turn: You can send 1 face-up ""Fire Formation"" Spell/Trap you control to the GY; Set 1 ""Fire Formation"" Spell/Trap directly from your Deck."
Bujin Regalia - The Sword," Trap Card  Normal","Activate 1 of these effects. ● Target 1 ""Bujin"" monster in your Graveyard; add that target to your hand. ● Target 1 of your banished ""Bujin"" monsters; send that target to the Graveyard."
Bujin Yamato," Effect Monster  Beast-Warrior  1800  200","Once per turn, during your End Phase: You can add 1 ""Bujin"" monster from your Deck to your hand, then send 1 card from your hand to the Graveyard. You can only control 1 ""Bujin Yamato""."
Bujincarnation," Spell Card  Normal","If your opponent controls a monster and you control no monsters: Target 1 ""Bujin"" monster in your Graveyard and 1 of your banished ""Bujin"" monsters; Special Summon both targets. They cannot be used as Xyz Material for an Xyz Summon, except for the Xyz Summon of a Beast, Beast-Warrior, or Winged Beast-Type monster."
Bujinfidel," Trap Card  Normal","Tribute 1 Beast-Warrior-Type ""Bujin"" monster, then target 1 ""Bujin"" monster with a different name in your Graveyard; Special Summon that target."
Bujingi Crane," Effect Monster  Winged Beast  1600  300","During damage calculation (in either player's turn), if a Beast-Warrior-Type ""Bujin"" monster you control battles an opponent's monster: You can send this card from your hand to the Graveyard; the ATK of your monster becomes double its original ATK, during that damage calculation only."
Bujingi Ophidian," Effect Monster  Winged Beast  1700  500","During your Main Phase 1: You can send this card from your hand to the Graveyard, then target 1 ""Bujin"" monster you control; it can attack your opponent directly this turn."
Bujingi Quilin," Effect Monster  Beast  1600  900","If you control a Beast-Warrior-Type ""Bujin"" monster: You can banish this card from your Graveyard, then target 1 face-up card your opponent controls; destroy that target. You can only use the effect of ""Bujingi Quilin"" once per turn."
Bujingi Turtle," Effect Monster  Beast  1700  1200","During either player's turn, when a card or effect is activated that targets a ""Bujin"" monster you control (except during the Damage Step): You can banish this card from your Graveyard; negate that effect."
Bujingi Warg," Effect Monster  Beast  1200  1900","While this card is in face-up Defense Position, other ""Bujin"" monsters you control cannot be destroyed by card effects."
Bujingi Wolf," Effect Monster  Beast  1100  2000","Other Beast, Beast-Warrior, and Winged Beast-Type monsters you control cannot be destroyed by battle."
Bujintei Susanowo," XYZ Monster  Beast-Warrior  2400  1600","2 Level 4 ""Bujin"" monsters This card can attack all monsters your opponent controls once each. Once per turn: You can detach 1 Xyz Material from this card; take 1 ""Bujin"" monster from your Deck, and either add it to your hand or send it to the Graveyard. You can only control 1 ""Bujintei Susanowo""."
Cheepcheepcheep," Effect Monster  Winged Beast  300  200",FLIP: You can Special Summon 1 Level 5 or higher Tuner monster from your Deck.
Coach Captain Bearman," Effect Monster  Beast-Warrior  2600  2700","You can Normal Summon this card without Tributing, but its original ATK becomes 1300. Once per turn: You can make all Level 4 Beast-Warrior-Type monsters you currently control become Level 8 until the end of this turn. This card cannot be used as an Xyz Material for an Xyz Summon, except for the Xyz Summon of a FIRE Warrior-Type monster."
Coach Soldier Wolfbark," Effect Monster  Beast-Warrior  1600  1200","You can target 1 Level 4 FIRE Beast-Warrior-Type monster in your Graveyard; Special Summon it in face-up Defense Position. Its effects are negated. You can only use the effect of ""Coach Soldier Wolfbark"" once per turn."
Cockadoodledoo," Tuner Monster  Winged Beast  1600  2000","If there are no monsters on the field, you can Special Summon this card (from your hand) as a Level 3 monster. If your opponent controls a monster and you control no cards, you can Special Summon this card (from your hand) as a Level 4 monster. If this face-up card would leave the field, banish it instead."
"Confronting the ""C"""," Effect Monster  Insect  1100  2500","When your opponent Special Summons a monster(s) from the Extra Deck (except during the Damage Step): You can Special Summon this card from your hand. If you do, this card is unaffected by monster effects that target this card."
Corrupted Keys," Trap Card  Normal","Target 1 face-up Xyz Monster you control; Special Summon 3 ""Umbral Horror Mirage Tokens"" (Fiend-Type/DARK/Level 1/ATK ?/DEF 0). (When Summoned, each Token's ATK becomes equal to that Xyz Monster's current ATK. They cannot attack your opponent directly or be Tributed, except for a Tribute Summon.) When that face-up Xyz Monster leaves the field, destroy these Tokens."
DZW - Chimera Clad," Effect Monster  Fiend","You can target 1 ""Number C39"" monster you control; equip this monster from your hand or your side of the field to that target. The equipped monster cannot be destroyed by battle. At the end of the Damage Step, when the equipped monster attacks an opponent's monster, but the opponent's monster was not destroyed by the battle: You can make the opponent's monster's ATK 0 (even after this card leaves the field or the monster becomes unaffected by card effects), and if you do, the equipped monster can make a second attack on the same monster in a row."
Fencing Fire Ferret," Effect Monster  Beast  1700  600","If this card is destroyed and sent to the GY: Target 1 face-up monster your opponent controls; destroy that target, and if you do, inflict 500 damage to your opponent."
Fire Formation - Yoko," Spell Card  Continuous","When this card is activated: You can target 1 face-up card your opponent controls; discard 1 Beast-Warrior monster, and if you do, destroy that card. All Beast-Warrior monsters you control gain 100 ATK."
Fire King Avatar Yaksha," Effect Monster  Beast-Warrior  1800  200","If a face-up ""Fire King"" monster you control is destroyed by a card effect (except during the Damage Step): You can Special Summon this card from your hand. If this card is destroyed and sent to the Graveyard: You can destroy 1 card in your hand or that you control. You can only use this effect of ""Fire King Avatar Yaksha"" once per turn."
Fishborg Archer," Tuner Monster  Fish  300  300","If this card is in your Graveyard and you control no monsters during either of your Main Phases: You can discard 1 WATER monster; Special Summon this card from your Graveyard, but destroy all monsters you control at the beginning of this turn's Battle Phase, except for WATER monsters. You can only use the effect of ""Fishborg Archer"" once per turn."
"Flying ""C"""," Effect Monster  Insect  700  700","When your opponent Normal or Special Summons a monster(s), except during the Damage Step: You can Special Summon this card from your hand to the opponent's field in Defense Position. The controller of this card cannot Xyz Summon."
Googly-Eyes Drum Dragon," XYZ Monster  Machine  3000  2500","2 Level 8 Machine-Type monsters Once per turn: You can detach 1 Xyz Material from this card; it gains 1000 ATK, until the end of your opponent's next turn. If this card is destroyed while it has Xyz Material: You can banish 1 ""Super Defense Robot"" monster from your Graveyard; Special Summon this card from your Graveyard, then, you can attach 1 ""Super Defense Robot"" monster from your Graveyard to this card as an Xyz Material."
Herald of Pure Light," XYZ Monster  Fairy  600  1000","2 Level 2 monsters You can detach 1 Xyz Material from this card, then target 1 monster in your Graveyard; add it to your hand, then shuffle 1 card from your hand into the Deck. You can only use the effect of ""Herald of Pure Light"" once per turn."
HTS Psyhemuth," Synchro Monster  Psychic  2400  1800","1 Tuner + 1 or more non-Tuner monsters After damage calculation, when this card battles an opponent's monster: You can banish that monster, also banish this card."
Ice Princess Zereort," XYZ Monster  Winged Beast  2500  2100","2 Level 5 Winged Beast-Type monsters You can detach 1 Xyz Material from this card, then target 1 face-up monster your opponent controls; its ATK becomes 0."
Interceptomato," Effect Monster  Plant  800  800","During your opponent's turn: You can banish this card from your Graveyard; this turn, any effect damage you take becomes 0 (this is a Quick Effect)."
Junk Blader," Effect Monster  Warrior  1800  1000","You can banish 1 ""Junk"" monster from your Graveyard; this card gains 400 ATK until the end of this turn."
Kujakujaku," Effect Monster  Winged Beast  1200  900","If this card on the field is Tributed and sent to the Graveyard: You can add 1 Level 4 or lower WIND monster from your Deck or Graveyard to your hand, except ""Kujakujaku"". You can only use the effect of ""Kujakujaku"" once per turn."
Madolche Chickolates," Effect Monster  Beast  800  1500","When this card in your possession is destroyed by your opponent's card (either by battle or by card effect) and sent to your Graveyard: Shuffle this card into the Deck. Once per turn, when the battle position of a ""Madolche"" monster(s) you control is changed (and is now face-up), while this card is face-up on the field (except during the Damage Step): You can target 1 monster on the field; change it to face-up Defense Position, and if you do, unless it is a ""Madolche"" monster, it cannot attack, also its effects are negated."
Masked Chameleon," Tuner Monster  Reptile  1600  1100","Cannot be Normal Summoned if you control a Level 5 or higher monster. When this card is Normal Summoned: You can target 1 monster with 0 DEF in your Graveyard; Special Summon that target in face-up Defense Position. Its effects are negated. You cannot Special Summon any other monsters, except from the Extra Deck, during the turn you activate this effect."
Mecha Phantom Beast Aerosguin," Effect Monster  Machine  1600  400","Once per turn: You can banish 1 ""Mecha Phantom Beast"" monster from your Graveyard, except ""Mecha Phantom Beast Aerosguin""; Special Summon 1 ""Mecha Phantom Beast Token"" (Machine-Type/WIND/Level 3/ATK 0/DEF 0). This card's Level is increased by the total Levels of all ""Mecha Phantom Beast Tokens"" you control. While you control a Token, this card cannot be destroyed by battle or card effects."
Mecha Phantom Beast Blue Impala," Tuner Monster  Machine  1400  1100","Cannot be used as a Synchro Material Monster, except for the Synchro Summon of a Machine-Type monster. The other Synchro Material Monster(s) are ""Mecha Phantom Beast"" monsters in your hand or on your side of the field. While you control a Token, this card cannot be destroyed by battle or card effects. If your opponent controls a monster and you control no monsters: You can banish this card from your Graveyard; Special Summon 1 ""Mecha Phantom Beast Token"" (Machine-Type/WIND/Level 3/ATK 0/DEF 0)."
Mecha Phantom Beast Coltwing," Effect Monster  Machine  1600  1500","When this card is Special Summoned: Special Summon 2 ""Mecha Phantom Beast Tokens"" (Machine-Type/WIND/Level 3/ATK 0/DEF 0). You must control another ""Mecha Phantom Beast"" monster to activate and to resolve this effect. This card's Level is increased by the total Levels of all ""Mecha Phantom Beast Tokens"" you control. While you control a Token, this card cannot be destroyed by battle or card effects. Once per turn: You can Tribute 2 Tokens, then target 1 card your opponent controls; destroy that target, and if you do, banish it."
Mecha Phantom Beast Concoruda," Synchro Monster  Machine  2400  1200","1 Tuner + 1 or more non-Tuner monsters Tokens you control cannot be destroyed by battle or card effects. If this card you control is destroyed by your opponent's card (either by battle or by card effect) and sent to your Graveyard: You can Tribute all Tokens you control, then target 1 Level 4 or lower ""Mecha Phantom Beast"" monster in your Graveyard; Special Summon that target."
Mecha Phantom Beast Harrliard," Effect Monster  Machine  1800  800","Once per turn, when a monster(s) you control is Tributed to activate a card or effect other than this card's: Special Summon 1 ""Mecha Phantom Beast Token"" (Machine-Type/WIND/Level 3/ATK 0/DEF 0). This card's Level is increased by the total Levels of all ""Mecha Phantom Beast Tokens"" you control. While you control a Token, this card cannot be destroyed by battle or card effects. Once per turn: You can Tribute 1 Token; Special Summon 1 ""Mecha Phantom Beast"" monster from your hand."
Mecha Phantom Beast Warbluran," Tuner Monster  Machine  300  300","If this card is sent to the Graveyard for the Synchro Summon of a Machine-Type monster: Special Summon 1 ""Mecha Phantom Beast Token"" (Machine-Type/WIND/Level 3/ATK 0/DEF 0), also, for the rest of this turn, you cannot Special Summon any other monsters, except WIND monsters. While you control a Token, this card cannot be destroyed by battle or card effects. You can Tribute 1 other ""Mecha Phantom Beast"" monster; increase this card's Level by 1. You can only use 1 ""Mecha Phantom Beast Warbluran"" effect per turn, and only once that turn."
Mist Bird Clausolas," Synchro Monster  Winged Beast  2300","1 Tuner + 1 or more non-Tuner monsters Once per turn: You can target 1 face-up monster your opponent controls; its ATK becomes 0, and if it does, its effects are negated. These changes last until the end of this turn."
Moon Dance Ritual," Trap Card  Continuous","Activate this card by targeting 1 WIND Xyz Monster you control that has no Xyz Materials. While that monster is on the field, negate the effects of all face-up monsters on the field. When that monster leaves the field, destroy this card. During the End Phase of the turn this card was activated: Attach this card to that monster as an Xyz Material."
Noble Knight Drystan," Effect Monster  Warrior  1800  800","While you control another ""Noble Knight"" monster, your opponent cannot target your monsters with less than 1800 ATK, except this card, for attacks or with card effects. If a ""Noble Arms"" Equip Spell Card is equipped to this card: Target 1 face-up card on the field; destroy that target. You can only use this effect of ""Noble Knight Drystan"" once per turn."
Number 102: Star Seraph Sentry," XYZ Monster  Fairy  2500  2000","3 Level 4 LIGHT monsters Once per turn: You can detach 1 Xyz Material from this card, then target 1 face-up monster your opponent controls; halve its ATK, also, negate its effects. If this face-up card on the field would be destroyed, you can detach all of its Xyz Materials instead. If you do, any battle damage you take this turn is halved."
Number 104: Masquerade," XYZ Monster  Spellcaster  2700  1200","3 Level 4 monsters During either player's Battle Phase, when an opponent's monster effect is activated: You can detach 1 Xyz Material from this card; negate the activation, and if you do, inflict 800 damage to your opponent. Once per turn: You can send the top card of your opponent's Deck to the Graveyard."
Number 66: Master Key Beetle," XYZ Monster  Insect  2500  800","2 Level 4 DARK monsters Once per turn: You can detach 1 Xyz Material from this card, then target 1 card you control, except this card; while this card is face-up on the field, that card(s) cannot be destroyed by card effects. If this face-up card on the field would be destroyed, you can send one of its targets to the Graveyard instead."
Number C104: Umbral Horror Masquerade," XYZ Monster  Spellcaster  3000  1500","4 Level 5 monsters When this card is Special Summoned: You can target 1 Spell/Trap Card on the field; destroy that target. If this card has ""Number 104: Masquerade"" as an Xyz material, it gains this effect. ● Once per turn, during either player's turn, when a monster effect is activated on your opponent's side of the field: You can detach 1 Xyz Material from this card; negate the activation, then you can send 1 random card from your opponent's hand to the Graveyard, and if you do, halve your opponent's Life Points."
Number C39: Utopia Ray Victory," XYZ Monster  Warrior  2800  2500","3 Level 5 monsters If this card attacks, your opponent cannot activate any Spell/Trap Cards until the end of the Damage Step. If this card has a ""Utopia"" monster as an Xyz Material, it gains this effect. ● When this card declares an attack on a face-up monster your opponent controls: You can detach 1 Xyz Material from this card; negate that opponent's face-up monster's effects, also this card gains ATK equal to that opponent's monster's ATK. These changes last until the end of this turn."
Rank-Up-Magic Numeron Force," Spell Card  Normal","Target 1 face-up Xyz Monster you control; Special Summon from your Extra Deck, 1 ""Number C"" monster with the same Type as that monster you control, but 1 Rank higher, by using it as the Xyz Material. (This Special Summon is treated as an Xyz Summon. Xyz Materials attached to it also become Xyz Materials on the Summoned monster.) Then, if any face-up cards are on the field other than this card and the monster Summoned by it, negate the effects of those other cards."
Reverse Glasses," Trap Card  Normal","Halve the ATK of all face-up monsters currently on the field, until the End Phase."
Sargasso Lighthouse," Spell Card  Quick-Play","When a Spell effect that would inflict damage to you is activated: You take no damage from that effect. While this card is in your Graveyard, you take no damage from the effect of ""Sargasso the D.D. Battlefield"". When this Set card is sent to the Graveyard: You can add 1 ""Sargasso the D.D. Battlefield"" from your Deck to your hand."
Sargasso the D.D. Battlefield," Spell Card  Field","Each time a monster is Xyz Summoned: The Summoning player takes 500 damage. During each player's End Phase, the turn player takes 500 damage if they control a face-up Xyz Monster."
Schwarzschild Limit Dragon," Effect Monster  Dragon  2000","If your opponent controls a monster with 2000 or more ATK, you can Special Summon this card (from your hand)."
Shapesister," Trap Card  Continuous","Special Summon this card as a Normal Monster (Fiend-Type/Tuner/EARTH/Level 2/ATK 0/DEF 0). (This card is also still a Trap Card.) You can only activate 1 ""Shapesister"" per turn."
Shark Caesar," XYZ Monster  Fish  1800  2000","3 or more (max. 5) Level 3 monsters Once per turn: You can detach 1 Xyz Material from this card; place 1 Shark Counter on this card. If this card attacks or is attacked, it gains 1000 ATK for each Shark Counter on it, during the Damage Step only."
Single Purchase," Spell Card  Normal","If you have 3 or more cards in your hand (other than this card), and none of them are monsters: Banish your entire hand face-up; add 1 monster from your Deck to your hand. If you do, you cannot Normal or Special Summon any monsters for the rest of this turn, except monsters with that name."
Sonic Boom," Trap Card  Normal","During your turn: Target 1 ""Mecha Phantom Beast"" monster on the field; this turn, its ATK becomes double its original ATK, it is unaffected by other Spell/Trap effects, also if it attacks a Defense Position monster, inflict piercing battle damage to your opponent. If this effect is applied to that monster, destroy all Machine-Type monsters you control during the End Phase of this turn. Other monsters cannot attack during the turn you activate this card."
Spell Recycler," Effect Monster  Spellcaster","When an opponent's monster declares an attack: You can banish this card from your Graveyard, then target 1 Spell Card in your Graveyard; send the top card of your Deck to the Graveyard, and if you do, return the target to the bottom of your Deck."
Star Eater," Synchro Monster  Dragon  3200  2800","1 Tuner + 1 or more non-Tuner monsters Must be Synchro Summoned, and cannot be Special Summoned by other ways. This card's Synchro Summon cannot be negated. When Synchro Summoned, cards and effects cannot be activated. If this card attacks, it is unaffected by other card effects until the end of the Damage Step."
Star Seraph Sage," Effect Monster  Fairy  1600  1400","Once per turn: You can send 1 Spell Card from your hand to the Graveyard; Special Summon 1 ""Star Seraph"" monster from your hand."
Star Seraph Scout," Effect Monster  Fairy  1200  1800","When this card is Normal Summoned: You can Special Summon 1 ""Star Seraph"" monster from your hand."
Star Seraph Sword," Effect Monster  Fairy  1400  1000","Once per turn: You can send 1 ""Star Seraph"" monster from your hand to the Graveyard; this card gains ATK equal to the original ATK of the sent monster, until the End Phase."
Starliege Lord Galaxion," XYZ Monster  Warrior  2000  2100","2 Level 4 ""Photon"" monsters Once per turn: You can detach 1 or 2 Xyz Materials from this card; apply this effect, depending on the number you detached. ● 1: Special Summon 1 ""Galaxy-Eyes Photon Dragon"" from your hand. ● 2: Special Summon 1 ""Galaxy-Eyes Photon Dragon"" from your Deck."
Super Defense Robot Elephan," Effect Monster  Machine  1400  2500","When this card is Normal Summoned: You can Special Summon 1 ""Super Defense Robot"" monster or ""Orbital 7"" from your hand. Once per turn: You can target 1 ""Super Defense Robot"" monster or ""Orbital 7"" you control; it becomes Level 8 until the end of this turn. This card cannot be used as an Xyz Material for an Xyz Summon, except for the Xyz Summon of a Machine-Type monster."
